iter	Passed	Remaining
0	23	7132
1	33	4930
2	40	3975
3	49	3680
4	54	3221
5	59	2904
6	64	2714
7	70	2580
8	75	2447
9	81	2370
10	87	2307
11	93	2240
12	100	2220
13	105	2154
14	110	2092
15	115	2043
16	119	1991
17	124	1943
18	128	1905
19	133	1867
20	137	1829
21	142	1800
22	147	1777
23	151	1747
24	156	1726
25	163	1722
26	185	1874
27	189	1844
28	197	1842
29	204	1840
30	212	1844
31	217	1818
32	222	1797
33	229	1796
34	235	1783
35	240	1766
36	249	1774
37	258	1782
38	267	1789
39	275	1793
40	283	1787
41	290	1784
42	295	1765
43	299	1744
44	306	1735
45	313	1729
46	318	1715
47	325	1708
48	332	1701
49	339	1696
50	344	1679
51	349	1665
52	355	1657
53	360	1642
54	365	1629
55	371	1618
56	377	1607
57	382	1593
58	388	1587
59	394	1576
60	398	1562
61	405	1554
62	409	1540
63	414	1529
64	421	1523
65	425	1509
66	431	1500
67	436	1490
68	442	1480
69	446	1468
70	453	1463
71	458	1453
72	463	1441
73	471	1439
74	478	1436
75	486	1433
76	494	1431
77	501	1426
78	506	1417
79	511	1406
80	517	1399
81	523	1391
82	527	1380
83	535	1376
84	539	1365
85	545	1358
86	551	1351
87	557	1344
88	564	1338
89	586	1368
90	604	1388
91	623	1409
92	636	1417
93	644	1411
94	663	1432
95	670	1424
96	679	1422
97	685	1412
98	690	1401
99	696	1392
100	700	1381
101	705	1369
102	714	1365
103	719	1355
104	725	1348
105	730	1336
106	735	1325
107	740	1316
108	746	1308
109	752	1299
110	757	1290
111	763	1281
112	768	1271
113	774	1264
114	779	1253
115	783	1243
116	789	1235
117	795	1227
118	800	1217
119	806	1209
120	812	1202
121	817	1192
122	824	1187
123	829	1177
124	834	1168
125	841	1162
126	846	1153
127	852	1145
128	859	1138
129	864	1130
130	870	1122
131	876	1115
132	881	1106
133	888	1100
134	893	1092
135	899	1084
136	906	1078
137	912	1070
138	919	1064
139	927	1059
140	935	1055
141	942	1049
142	951	1044
143	959	1039
144	967	1034
145	973	1027
146	979	1019
147	985	1012
148	990	1003
149	995	995
150	1001	988
151	1007	980
152	1011	971
153	1017	964
154	1022	956
155	1026	947
156	1032	940
157	1037	932
158	1042	924
159	1048	917
160	1052	909
161	1057	900
162	1063	893
163	1068	885
164	1072	877
165	1078	870
166	1083	862
167	1088	855
168	1095	849
169	1101	842
170	1106	835
171	1113	828
172	1120	822
173	1125	815
174	1131	808
175	1137	801
176	1143	794
177	1150	788
178	1154	780
179	1162	774
180	1168	768
181	1174	761
182	1181	755
183	1186	747
184	1193	741
185	1200	735
186	1205	728
187	1211	721
188	1217	714
189	1224	708
190	1229	701
191	1235	694
192	1242	688
193	1249	682
194	1259	678
195	1266	672
196	1274	666
197	1279	659
198	1284	651
199	1291	645
200	1297	639
201	1305	633
202	1310	626
203	1314	618
204	1321	612
205	1325	604
206	1330	597
207	1337	591
208	1341	584
209	1345	576
210	1352	570
211	1359	564
212	1367	558
213	1373	552
214	1379	545
215	1386	539
216	1394	533
217	1403	528
218	1409	521
219	1414	514
220	1420	507
221	1424	500
222	1429	493
223	1435	486
224	1439	479
225	1444	472
226	1452	467
227	1458	460
228	1464	454
229	1469	447
230	1474	440
231	1480	433
232	1484	427
233	1489	420
234	1495	413
235	1501	407
236	1506	400
237	1513	394
238	1519	387
239	1525	381
240	1532	375
241	1540	369
242	1546	362
243	1552	356
244	1561	350
245	1566	343
246	1572	337
247	1581	331
248	1590	325
249	1598	319
250	1606	313
251	1612	307
252	1617	300
